,Level1,Level2,Level3,Level4,Total
1026,2011-2014,7,Reflection methods for user-friendly submodular optimization,On the Convergence Rate of Decomposable Submodular Function Minimization,1
1027,2011-2014,7,Reflection methods for user-friendly submodular optimization,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,1
1028,2011-2014,7,Reflection methods for user-friendly submodular optimization,Cooperative Graphical Models,1
1029,2008-2011,8,Efficient Match Kernel between Sets of Features for Visual Recognition,Kernel Descriptors for Visual Recognition,1
1030,2008-2011,8,Efficient Match Kernel between Sets of Features for Visual Recognition,Hierarchical Matching Pursuit for Image Classification: Architecture and Fast Algorithms,1
1031,1996-1999,9,Bayesian Transduction,The Kernel Gibbs Sampler,1
1032,1999-2002,10,Bayesian Transduction,The Kernel Gibbs Sampler,1
1033,2005-2008,11,Learning annotated hierarchies from relational data,Bayesian Agglomerative Clustering with Coalescents,1
1034,2011-2014,12,Proximal Newton-type methods for convex optimization,QUIC & DIRTY: A Quadratic Approximation Approach for Dirty Statistical Models,1
1035,2008-2011,13,Learning to Hash with Binary Reconstructive Embeddings,Learning Image Descriptors with the Boosting-Trick,1
1036,2005-2008,0,Clustering via LP-based Stabilities,Minimizing Sparse High-Order Energies by Submodular Vertex-Cover,1
1037,2008-2011,1,Clustering via LP-based Stabilities,Minimizing Sparse High-Order Energies by Submodular Vertex-Cover,1
1038,2005-2008,2,Collapsed Variational Inference for HDP,Online Learning of Nonparametric Mixture Models via Sequential Variational Approximation,1
1039,2005-2008,2,Collapsed Variational Inference for HDP,Analysis of Brain States from Multi-Region LFP Time-Series,1
1040,2008-2011,3,The Maximal Causes of Natural Scenes are Edge Filters,Unsupervised learning models of primary cortical receptive fields and receptive field plasticity,1
1041,2011-2014,4,Identifying and attacking the saddle point problem in high-dimensional non-convex optimization,Training Very Deep Networks,1
1042,2014-2017,5,Identifying and attacking the saddle point problem in high-dimensional non-convex optimization,Training Very Deep Networks,1
1043,2002-2005,6,Newscast EM,Distributed Inference for Latent Dirichlet Allocation,1
1044,2002-2005,6,Newscast EM,Asynchronous Distributed Learning of Topic Models,1
1045,2002-2005,6,Newscast EM,Extending Gossip Algorithms to Distributed Estimation of U-statistics,1
1046,2008-2011,7,Identifying graph-structured activation patterns in networks,"Total Variation Classes Beyond 1d: Minimax Rates, and the Limitations of Linear Smoothers",1
1047,1987-1990,8,An Analog Self-Organizing Neural Network Chip,A Reconfigurable Analog VLSI Neural Network Chip,1
1048,1987-1990,8,An Analog Self-Organizing Neural Network Chip,The Effects of Circuit Integration on a Feature Map Vector Quantizer,1
1049,2005-2008,9,Active learning for misspecified generalized linear models,Active Estimation of F-Measures,1
1050,2005-2008,9,Active learning for misspecified generalized linear models,Agnostic Active Learning Without Constraints,1
1051,2011-2014,10,Sparse nonnegative deconvolution for compressive calcium imaging: algorithms and phase transitions,Sparse Space-Time Deconvolution for Calcium Image Analysis,1
1052,2005-2008,11,New Outer Bounds on the Marginal Polytope,The Recurrent Temporal Restricted Boltzmann Machine,1
1053,2005-2008,11,New Outer Bounds on the Marginal Polytope,MAP estimation in Binary MRFs via Bipartite Multi-cuts,1
1054,2005-2008,11,New Outer Bounds on the Marginal Polytope,Message Passing Inference for Large Scale Graphical Models with High Order Potentials,1
1055,1996-1999,12,Bayesian PCA,Automatic Choice of Dimensionality for PCA,1
1056,1996-1999,12,Bayesian PCA,Heterogeneous Component Analysis,1
1057,1996-1999,12,Bayesian PCA,Multi-Label Prediction via Sparse Infinite CCA,1
1058,1996-1999,12,Bayesian PCA,Probabilistic Relational PCA,1
1059,1996-1999,12,Bayesian PCA,Variational Gaussian-process factor analysis for modeling spatio-temporal data,1
1060,1996-1999,12,Bayesian PCA,Nonnegative dictionary learning in the exponential noise model for adaptive music signal representation,1
1061,1996-1999,12,Bayesian PCA,Global Solution of Fully-Observed Variational Bayesian Matrix Factorization is Column-Wise Independent,1
1062,1996-1999,12,Bayesian PCA,Bayesian Spike-Triggered Covariance Analysis,1
1063,1996-1999,12,Bayesian PCA,Perfect Dimensionality Recovery by Variational Bayesian PCA,1
1064,1996-1999,12,Bayesian PCA,Probabilistic Principal Geodesic Analysis,1
1065,1996-1999,12,Bayesian PCA,Analysis of Variational Bayesian Latent Dirichlet Allocation: Weaker Sparsity Than MAP,1
1066,1990-1993,13,Hierarchies of adaptive experts,Adaptively Growing Hierarchical Mixtures of Experts,1
1067,1990-1993,13,Hierarchies of adaptive experts,Unsupervised Classification of 3D Objects from 2D Views,1
1068,2005-2008,0,PG-means: learning the number of clusters in data,Dip-means: an incremental clustering method for estimating the number of clusters,1
1069,1999-2002,1,The Unified Propagation and Scaling Algorithm,The g Factor: Relating Distributions on Features to Distributions on Images,1
1070,2002-2005,2,Gradient Flow Independent Component Analysis in Micropower VLSI,Large Margin Multi-channel Analog-to-Digital Conversion with Applications to Neural Prosthesis,1
1071,2002-2005,2,Gradient Flow Independent Component Analysis in Micropower VLSI,Blind source separation for over-determined delayed mixtures,1
1072,2005-2008,3,Gradient Flow Independent Component Analysis in Micropower VLSI,Large Margin Multi-channel Analog-to-Digital Conversion with Applications to Neural Prosthesis,1
1073,2005-2008,3,Gradient Flow Independent Component Analysis in Micropower VLSI,Blind source separation for over-determined delayed mixtures,1
1074,2011-2014,4,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,Recurrent linear models of simultaneously-recorded neural   populations,1
1075,2011-2014,4,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,Robust learning of low-dimensional dynamics from large neural ensembles,1
1076,1999-2002,5,Discriminative Direction for Kernel Classifiers,Discriminating Deformable Shape Classes,1
1077,2011-2014,6,Large Scale Distributed Deep Networks,The Sound of APALM Clapping: Faster Nonsmooth Nonconvex Optimization with Stochastic Asynchronous PALM,1
1078,1987-1990,7,Statistical Prediction with Kanerva's Sparse Distributed Memory,Predicting Weather Using a Genetic Memory: A Combination of Kanerva's Sparse Distributed Memory with Holland's Genetic Algorithms,1
1079,2008-2011,8,The Multidimensional Wisdom of Crowds,Bayesian Bias Mitigation for Crowdsourcing,1
1080,1996-1999,9,Learning Lie Groups for Invariant Visual Perception,Learning transport operators for image manifolds,1
1081,1999-2002,10,The Use of Classifiers in Sequential Inference,Online Learning via Global Feedback for Phrase Recognition,1
1082,2008-2011,11,Robust Lasso with missing and grossly corrupted observations,Robust Gaussian Graphical Modeling with the Trimmed Graphical Lasso,1
1083,2011-2014,12,Robust Lasso with missing and grossly corrupted observations,Robust Gaussian Graphical Modeling with the Trimmed Graphical Lasso,1
1084,2005-2008,13,Efficient sparse coding algorithms,Learning Horizontal Connections in a Sparse Coding Model of Natural Images,1
1085,2005-2008,13,Efficient sparse coding algorithms,Sparse deep belief net model for visual area V2,1
1086,2005-2008,13,Efficient sparse coding algorithms,Exploring Large Feature Spaces with Hierarchical Multiple Kernel Learning,1
1087,2005-2008,13,Efficient sparse coding algorithms,An Homotopy Algorithm for the Lasso with Online Observations,1
1088,2005-2008,13,Efficient sparse coding algorithms,Semi-supervised Learning with Weakly-Related Unlabeled Data : Towards Better Text Categorization,1
1089,2005-2008,13,Efficient sparse coding algorithms,Sparse Online Learning via Truncated Gradient,1
1090,2005-2008,13,Efficient sparse coding algorithms,Group Sparse Coding,1
1091,2005-2008,13,Efficient sparse coding algorithms,Nonlinear Learning using Local Coordinate Coding,1
1092,2005-2008,13,Efficient sparse coding algorithms,Deep Coding Network,1
1093,2005-2008,13,Efficient sparse coding algorithms,Sparse Coding for Learning Interpretable Spatio-Temporal Primitives,1
1094,2005-2008,13,Efficient sparse coding algorithms,Factorized Latent Spaces with Structured Sparsity,1
1095,2005-2008,13,Efficient sparse coding algorithms,Adaptive Multi-Task Lasso: with Application to eQTL Detection,1
1096,2005-2008,13,Efficient sparse coding algorithms,Linear Complementarity for Regularized Policy Evaluation and Improvement,1
1097,2005-2008,13,Efficient sparse coding algorithms,Deciphering subsampled data: adaptive compressive sampling as a principle of brain communication,1
1098,2005-2008,13,Efficient sparse coding algorithms,Dimensionality Reduction Using the Sparse Linear Model,1
1099,2005-2008,13,Efficient sparse coding algorithms,Select and Sample - A Model of Efficient Neural Inference and Learning,1
1100,2005-2008,13,Efficient sparse coding algorithms,Learning Sparse Representations of High Dimensional Data on Large Scale Dictionaries,1
1101,2005-2008,13,Efficient sparse coding algorithms,A blind sparse deconvolution method for neural spike identification,1
1102,2005-2008,13,Efficient sparse coding algorithms,Generalized Lasso based Approximation of Sparse Coding for Visual Recognition,1
1103,2005-2008,13,Efficient sparse coding algorithms,Learning the Dependency Structure of Latent Factors,1
1104,2005-2008,13,Efficient sparse coding algorithms,Unsupervised Template Learning for Fine-Grained Object Recognition,1
1105,2005-2008,13,Efficient sparse coding algorithms,Learning to Align from Scratch,1
1106,2005-2008,13,Efficient sparse coding algorithms,General Stochastic Networks for Classification,1
1107,2005-2008,13,Efficient sparse coding algorithms,Encoding High Dimensional Local Features by Sparse Coding Based Fisher Vectors,1
1108,2005-2008,13,Efficient sparse coding algorithms,Projective dictionary pair learning for pattern classification,1
1109,1996-1999,0,The Nonnegative Boltzmann Machine,High-temperature Expansions for Learning Models of Nonnegative Data,1
1110,1999-2002,1,The Nonnegative Boltzmann Machine,High-temperature Expansions for Learning Models of Nonnegative Data,1
1111,1990-1993,2,Counting function theorem for multi-layer networks,MLP Can Provably Generalize Much Better than VC-bounds Indicate,1
1112,1993-1996,3,Counting function theorem for multi-layer networks,MLP Can Provably Generalize Much Better than VC-bounds Indicate,1
1113,2002-2005,4,Improved risk tail bounds for on-line algorithms,Generalization Error Bounds for Aggregation by Mirror Descent with Averaging,1
1114,2002-2005,4,Improved risk tail bounds for on-line algorithms,On the Generalization Ability of Online Strongly Convex Programming Algorithms,1
1115,2005-2008,5,Improved risk tail bounds for on-line algorithms,Generalization Error Bounds for Aggregation by Mirror Descent with Averaging,1
1116,2005-2008,5,Improved risk tail bounds for on-line algorithms,On the Generalization Ability of Online Strongly Convex Programming Algorithms,1
